Profile URL,Logo URL,Categories,Office Count,All Locations,Total Offices,name,employee_count,about,location,year_founded,url,status,about_tech,email,employees,revenue,city,bootstrapped,open_source,org_type,start_date,request,hiring,other,links,tech_stack,user_id,company_type,people
https://builtin.com/company/atlassian,https://builtin.com/sites/www.builtin.com/files/2021-08/atlassian.png,Cloud • Information Technology • Productivity • Security • Software • App development • Automation,,[],13,Atlassian,"11,000","Atlassian builds software that empowers everyone from small startups to government and education to the who’s who of tech. We build tools like Jira, Confluence, Bitbucket, Trello, and OpsGenie to help teams across the world become more nimble, creative, and aligned — collaboration continues to drive the heart of every product we dream up.","San Francisco, CA",2012,https://www.atlassian.com/,,,,,,,,,,,,,,,,,,
https://builtin.com/company/mondaycom,https://builtin.com/sites/www.builtin.com/files/2021-07/large-original-logo.jpeg,Productivity • Software,,[],10,monday.com,"1,500","monday.com is a work operating system that transforms the way teams work together. We’ve created a solution that connects people to workplace processes promoting a culture of transparency & empowerment. We're obsessed with building an excellent product. Our goal is to create a work operating system that people will love to use—one that’s fast, beautiful & responsive.","New York, NY",2012,https://monday.com/,,,,,,,,,,,,,,,,,,
https://builtin.com/company/caterpillar,https://builtin.com/sites/www.builtin.com/files/2021-04/CLogo_2.png,Artificial Intelligence • Cloud • Internet of Things • Software • Cybersecurity • Industrial,,[],8,Caterpillar,"100,000","Cat Digital is the digital and technology arm of Caterpillar Inc., responsible for bringing digital capabilities to our world-famous yellow iron. With over one million connected assets worldwide, our teams use data, technology, advanced analytics and AI capabilities to help our customers build a better world.",DE,1925,https://www.caterpillar.com,,,,,,,,,,,,,,,,,,
https://builtin.com/company/general-motors,https://builtin.com/sites/www.builtin.com/files/2024-01/GM_Gradient_Brandmark_RGB.png,Automotive • Big Data • Information Technology • Robotics • Software • Transportation • Manufacturing,,[],30,General Motors,"165,000","At General Motors, our vision is to create a world with Zero Crashes, Zero Emissions, and Zero Congestion. We wholeheartedly embrace the responsibility to lead the change that will make our world better, safer, and more equitable for all.

Our industry and company are undergoing a once-in-a-lifetime technological transformation, which is reshaping our approach to technology and innovation. We are expanding our horizons through new technology platforms and driving innovations that deliver exceptional value to our customers.","Detroit, MI",1908,https://search-careers.gm.com,,,,,,,,,,,,,,,,,,
https://builtin.com/company/zs,https://builtin.com/sites/www.builtin.com/files/2024-01/zlogo_0.png,Artificial Intelligence • Healthtech • Professional Services • Analytics • Consulting,,[],34,ZS,"13,000","ZS is a management consulting and technology firm focused on transforming global healthcare and beyond. We leverage our leading-edge analytics, plus the power of data, science and products, to help our clients make more intelligent decisions, deliver innovative solutions and improve outcomes for all. Founded in 1983, ZS celebrated 40th anniversary last year with more than 13,000 employees in 35 offices worldwide.","Evanston, IL",1983,https://www.zs.com/careers,,,,,,,,,,,,,,,,,,
https://builtin.com/company/kin-carta,https://builtin.com/sites/www.builtin.com/files/2023-12/Linkedin Profile Pic 1.png,Information Technology • Professional Services • Retail • Software • Consulting • Financial Services • Agriculture,,[],14,Kin + Carta,"2,000","Kin + Carta is a global digital transformation consultancy committed to working alongside our clients to build a world that works better for everyone.

We’re a technology business with trust and human connection at its heart. As a Certified B Corporation, our triple bottom line focus on people, the planet, and profit is at the core of everything we do.","Chicago, IL",2001,http://www.kinandcarta.com,,,,,,,,,,,,,,,,,,
https://builtin.com/company/coreweave,https://builtin.com/sites/www.builtin.com/files/2021-10/1605534838400.jpeg,Cloud • Information Technology • Machine Learning,,[],4,CoreWeave,550,"CoreWeave is a modern cloud, providing enterprise scale with the flexibility of a start-up. 

At CoreWeave we are building the next generation public cloud for accelerated workloads. Our stack consists of 8,000 bare metal servers with 45,000 GPUs total with over 15 data-centers. We lay Kubernetes on top to provide bare metal performance to users in ML Training, Real Time Inference and CGI markets.  CoreWeave espouses small teams of high-performing, highly accountable engineers; the use of open source tools and libraries whenever possible; and focusing on delivering reliable, useful software to our customers.","Roseland, NJ","205
                                    Product + Tech Employees",http://www.coreweave.com,,,,,,,,,,,,,,,,,,
https://builtin.com/company/bonterra,https://builtin.com/sites/www.builtin.com/files/2022-03/twitter.jpeg,Cloud • Productivity • Social Impact • Software • Analytics,,[],2,Bonterra,"1,200","Bonterra is the second-largest and fastest-growing social good software company in the world. Formed through the combination of CyberGrants, EveryAction, Network for Good, Social Solutions, WeSpire, and their respective entities, Bonterra enables unprecedented connectivity between social good organizations and their community of supporters and constituents. This will reshape philanthropic giving, empower digital transformation, and bring the social good sector the technology it needs to accelerate lasting social change.  

Our purpose is to power those who power social impact. To that end, we serve the people who make social good possible—the doers behind the scenes across nonprofits, public agencies, corporations, philanthropic organizations, and foundations. Our case management, corporate social good and philanthropy, and nonprofit fundraising and engagement technology solutions make the work behind social good easier, more efficient, and more effective. Our innovative, passionate team of industry experts and advocates elevate the people that make social good possible—we call this championing the doers—and raise the bar for how social change happens. And our partnerships with our customers unlock potential to help them thrive.  

We seek diversity and embrace the power of our differences, and we never stop looking for ways to widen our circle of inclusion. Bonterra is currently accelerating the hiring process to bring in new mission-driven talent with openings for remote work and positions based in Andover MA; Austin TX; Washington, DC; Pittsburgh PA; Ontario, Canada; and various locations in Australia.  

Our Values:
ELEVATE DOERS OF GOOD
Fuel growth. Power with partnership. Do the best work of our lives.

INNOVATE COURAGEOUSLY
Be curious. Deeply understand our clients. Have each other's backs.

CULTIVATE INCLUSIVITY
Open doors. Create space. Center diversity, equity, inclusion, and belonging.

APPRECIATE THE JOURNEY
Celebrate progress. Bring everyone along. Enjoy the ride.","Austin, TX",2022,https://www.bonterratech.com/,,,,,,,,,,,,,,,,,,
https://builtin.com/company/kikoff,https://builtin.com/sites/www.builtin.com/files/2022-04/Kikoff.jpg,Fintech • Financial Services,,[],2,Kikoff,98,"Kikoff is a personal finance platform that offers the simplest credit-building solution out there: $0 fees, 0% interest, and no credit pull. 

Your credit score is the foundation of your financial health – yet most people don’t have the credit score they deserve. That’s why Kikoff built the most accessible and affordable credit-building solution – it’s also the fastest growing and the top-rated credit building mobile app. Kikoff works whether you’re new to credit or looking for an extra boost.

Building credit is just the start; Kikoff is building a personal finance platform designed to help consumers achieve financial wellness. Driven by the co-founders’ and team’s personal experiences, Kikoff’s mission is to provide refreshingly fair, effective, and simple pathways to meet your financial goals.

Kikoff is a Series B company and has raised over $42 million in total funding. Investors include Portage Ventures, Lightspeed Venture Partners, GGV, Coatue, Core Innovation Capital, and basketball star Stephen Curry. Kikoff was founded in 2019 and is headquartered in San Francisco, California.","San Francisco, CA","60
                                    Product + Tech Employees",http://kikoff.com,,,,,,,,,,,,,,,,,,
https://builtin.com/company/mcmaster-carr,https://builtin.com/sites/www.builtin.com/files/2022-03/1529091293292.jpg,eCommerce • Hardware • Logistics • Mobile • Software,,[],,McMaster-Carr,View Website,"McMaster-Carr is an e-commerce company offering more than half a million products used to keep business in motion. With more than 300,000 daily visits to our website, customers from a variety of industries turn to us when they need to build, design, repair or maintain just about anything because we are the complete, one-stop source for industrial supplies.  

Technology teams play a vital role in McMaster-Carr’s success.  The software that drives our business is developed in-house by a growing team of versatile engineers.  Whether the project is automating distribution operations, improving browsing features on our app or integrating a new data center to serve five national facilities, people flourish when they love to learn and pursue ambitious goals.  

McMaster-Carr’s diverse business creates the opportunity to explore new technologies and develop expertise that is both broad and deep.  Growth is supported by an inclusive culture of development seen in mentorship, reading groups, guilds and town halls that create community.  They pursue career growth through learning and advancement in technical and project leadership.","Elmhurst, IL",,https://www.mcmaster.com/careers,,,,,,,,,,,,,,,,,,
